Cartella;Istanza;Run;Metodo;Costo;Tempo_Metodo
n25;C201.txt;1;SA1_on_Neigh2;214.7;1.1647734642028809
n25;C201.txt;1;SA1_on_Neigh3;214.7;1.2166996002197266
n25;C201.txt;1;GRASP_G1;214.6999999999998;3.477412462234497
n25;C201.txt;1;Tabu_G1;214.6999999999998;21.859726428985596
n25;C201.txt;1;VNS_G1;214.6999999999998;0.07809877395629883
n25;C201.txt;1;Greedy_2;1273.0;0.0003857612609863281
n25;C201.txt;1;G2_Neigh1_Insertion;214.70000000000024;0.03627419471740723
n25;C201.txt;1;G2_Neigh2_OrOpt;1273.0;2.0503997802734375e-05
n25;C201.txt;1;G2_Neigh3_Swap;1273.0;0.00010609626770019531
n25;C201.txt;1;SA2_on_Neigh1;214.7;1.3945400714874268
n25;C201.txt;1;SA2_on_Neigh2;214.7;1.1576807498931885
n25;C201.txt;1;SA2_on_Neigh3;214.7;1.0247361660003662
n25;C201.txt;1;GRASP_G2;214.70000000000024;3.5517280101776123
n25;C201.txt;1;Tabu_G2;214.70000000000024;22.90006113052368
n25;C201.txt;1;VNS_G2;214.69999999999996;0.17858338356018066
n25;C201.txt;1;Memetic_Algorithm;214.69999999999982;13.137778997421265
n25;C201.txt;2;Greedy_1;610.8;0.0009801387786865234
n25;C201.txt;2;G1_Neigh1_Insertion;214.6999999999998;0.02893686294555664
n25;C201.txt;2;G1_Neigh2_OrOpt;610.8;0.0002238750457763672
n25;C201.txt;2;G1_Neigh3_Swap;610.8;0.0001270771026611328
n25;C201.txt;2;SA1_on_Neigh1;214.6999999999998;1.0954720973968506
n25;C201.txt;2;SA1_on_Neigh2;214.7;1.2845942974090576
n25;C201.txt;2;SA1_on_Neigh3;214.7;1.1351234912872314
n25;C201.txt;2;GRASP_G1;214.6999999999998;3.498626708984375
n25;C201.txt;2;Tabu_G1;214.6999999999998;22.084932804107666
n25;C201.txt;2;VNS_G1;214.6999999999998;0.3319084644317627
n25;C201.txt;2;Greedy_2;1273.0;0.0003859996795654297
n25;C201.txt;2;G2_Neigh1_Insertion;214.70000000000024;0.03516268730163574
n25;C201.txt;2;G2_Neigh2_OrOpt;1273.0;1.9311904907226562e-05
n25;C201.txt;2;G2_Neigh3_Swap;1273.0;0.00010061264038085938
n25;C201.txt;2;SA2_on_Neigh1;214.7;0.9896335601806641
n25;C201.txt;2;SA2_on_Neigh2;214.7;1.1656434535980225
n25;C201.txt;2;SA2_on_Neigh3;214.7;0.9346768856048584
n25;C201.txt;2;GRASP_G2;214.70000000000024;3.601407051086426
n25;C201.txt;2;Tabu_G2;214.70000000000024;22.401593923568726
n25;C201.txt;2;VNS_G2;214.69999999999996;0.1774444580078125
n25;C201.txt;2;Memetic_Algorithm;214.6999999999999;12.82888150215149
n25;C201.txt;3;Greedy_1;610.8;0.001024484634399414
n25;C201.txt;3;G1_Neigh1_Insertion;214.6999999999998;0.029079914093017578
n25;C201.txt;3;G1_Neigh2_OrOpt;610.8;0.00022912025451660156
n25;C201.txt;3;G1_Neigh3_Swap;610.8;0.0001308917999267578
n25;C201.txt;3;SA1_on_Neigh1;214.6999999999998;1.1815767288208008
n25;C201.txt;3;SA1_on_Neigh2;214.7;1.1672985553741455
n25;C201.txt;3;SA1_on_Neigh3;214.7;1.2445621490478516
n25;C201.txt;3;GRASP_G1;214.6999999999998;3.7623143196105957
n25;C201.txt;3;Tabu_G1;214.6999999999998;22.31196427345276
n25;C201.txt;3;VNS_G1;214.6999999999998;0.12220621109008789
n25;C201.txt;3;Greedy_2;1273.0;0.00037741661071777344
n25;C201.txt;3;G2_Neigh1_Insertion;214.70000000000024;0.0348818302154541
n25;C201.txt;3;G2_Neigh2_OrOpt;1273.0;1.8596649169921875e-05
n25;C201.txt;3;G2_Neigh3_Swap;1273.0;9.489059448242188e-05
n25;C201.txt;3;SA2_on_Neigh1;214.7;1.2979023456573486
n25;C201.txt;3;SA2_on_Neigh2;214.7;1.0114896297454834
n25;C201.txt;3;SA2_on_Neigh3;214.7;1.0933327674865723
n25;C201.txt;3;GRASP_G2;214.70000000000024;3.8830132484436035
n25;C201.txt;3;Tabu_G2;214.70000000000024;22.448772430419922
n25;C201.txt;3;VNS_G2;214.69999999999996;0.14992237091064453
n25;C201.txt;3;Memetic_Algorithm;214.6999999999999;13.309321403503418
n25;C204.txt;1;Greedy_1;544.1;0.0009453296661376953
n25;C204.txt;1;G1_Neigh1_Insertion;264.9000000000003;0.06271195411682129
n25;C204.txt;1;G1_Neigh2_OrOpt;524.6999999999999;0.002302885055541992
n25;C204.txt;1;G1_Neigh3_Swap;517.5999999999999;0.0021200180053710938
n25;C204.txt;1;SA1_on_Neigh1;219.5;4.697884559631348
n25;C204.txt;1;SA1_on_Neigh2;214.5;4.856786489486694
n25;C204.txt;1;SA1_on_Neigh3;214.5;7.4912848472595215
n25;C204.txt;1;GRASP_G1;214.50000000000006;10.64551329612732
n25;C204.txt;1;Tabu_G1;214.50000000000034;27.02553653717041
n25;C204.txt;1;VNS_G1;214.49999999999994;1.8437678813934326
n25;C204.txt;1;Greedy_2;1273.0;0.0003905296325683594
n25;C204.txt;1;G2_Neigh1_Insertion;259.49999999999943;0.0477139949798584
n25;C204.txt;1;G2_Neigh2_OrOpt;1273.0;1.9788742065429688e-05
n25;C204.txt;1;G2_Neigh3_Swap;1273.0;0.000102996826171875
n25;C204.txt;1;SA2_on_Neigh1;221.4;4.488970994949341
n25;C204.txt;1;SA2_on_Neigh2;214.5;4.648555755615234
n25;C204.txt;1;SA2_on_Neigh3;214.5;7.644368648529053
n25;C204.txt;1;GRASP_G2;214.50000000000009;11.827009677886963
n25;C204.txt;1;Tabu_G2;259.49999999999943;22.213375568389893
n25;C204.txt;1;VNS_G2;259.49999999999943;0.18949651718139648
n25;C204.txt;1;Memetic_Algorithm;214.49999999999986;28.29910969734192
n25;C204.txt;2;Greedy_1;544.1;0.001085519790649414
n25;C204.txt;2;G1_Neigh1_Insertion;264.9000000000003;0.060365915298461914
n25;C204.txt;2;G1_Neigh2_OrOpt;524.6999999999999;0.0022726058959960938
n25;C204.txt;2;G1_Neigh3_Swap;517.5999999999999;0.0020525455474853516
n25;C204.txt;2;SA1_on_Neigh1;219.5;5.0575621128082275
n25;C204.txt;2;SA1_on_Neigh2;214.5;8.021607160568237
n25;C204.txt;2;SA1_on_Neigh3;214.5;4.421228408813477
n25;C204.txt;2;GRASP_G1;214.49999999999997;14.597737789154053
n25;C204.txt;2;Tabu_G1;214.50000000000034;26.864992380142212
n25;C204.txt;2;VNS_G1;214.49999999999997;1.2961058616638184
n25;C204.txt;2;Greedy_2;1273.0;0.0003731250762939453
n25;C204.txt;2;G2_Neigh1_Insertion;259.49999999999943;0.04701590538024902
n25;C204.txt;2;G2_Neigh2_OrOpt;1273.0;2.0265579223632812e-05
n25;C204.txt;2;G2_Neigh3_Swap;1273.0;0.00010013580322265625
n25;C204.txt;2;SA2_on_Neigh1;214.5;4.0984907150268555
n25;C204.txt;2;SA2_on_Neigh2;214.5;6.45067834854126
n25;C204.txt;2;SA2_on_Neigh3;213.1;7.057876348495483
n25;C204.txt;2;GRASP_G2;214.4999999999999;9.662249326705933
n25;C204.txt;2;Tabu_G2;259.49999999999943;22.515762329101562
n25;C204.txt;2;VNS_G2;214.49999999999991;0.7166769504547119
n25;C204.txt;2;Memetic_Algorithm;214.4999999999999;25.173067092895508
n25;C204.txt;3;Greedy_1;544.1;0.00095367431640625
